original_path,proposed_new_path,category,item_type,should_move,should_delete_original_after_move,requires_reference_update,confidence,notes,source_hash,destination_hash,status,move_method,message
docs/stage4/E2_DPS_hypothesis.md,docs/stage3_sde/imported_stage4_docs/E2_DPS_hypothesis.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,DPS audit or rejected DPS alternative,4b69d9128223997cc2317bb7a8ef4fabc70789b3ca5b4d78615784d418b30eb6,4b69d9128223997cc2317bb7a8ef4fabc70789b3ca5b4d78615784d418b30eb6,moved,shutil.move,hash verified
docs/stage4/E2_DPS_hypothesis_amendment_001.md,docs/stage3_sde/imported_stage4_docs/E2_DPS_hypothesis_amendment_001.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,DPS audit or rejected DPS alternative,79db4cdf501f42e8e712ae9f2cd1ec3734d179be21c81a7a5abf6988f030a404,79db4cdf501f42e8e712ae9f2cd1ec3734d179be21c81a7a5abf6988f030a404,moved,shutil.move,hash verified
docs/stage4/E2_DPS_hypothesis_amendment_002.md,docs/stage3_sde/imported_stage4_docs/E2_DPS_hypothesis_amendment_002.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,DPS audit or rejected DPS alternative,fab1208dea0cdfa2d2addd7bf261f4c6efc03db2ac19021ead8d1676c3566257,fab1208dea0cdfa2d2addd7bf261f4c6efc03db2ac19021ead8d1676c3566257,moved,shutil.move,hash verified
docs/stage4/E3_observation_initialized_prior_interface_audit.md,docs/stage3_sde/imported_stage4_docs/E3_observation_initialized_prior_interface_audit.md,FUTURE_SENSOR_INTERFACE,markdown,yes,yes,yes,high,future observation-initialized prior interface audit,f78356e317f387cc1917b694dabfc308408f568cd03b3d5b07bbb4e62664a06f,f78356e317f387cc1917b694dabfc308408f568cd03b3d5b07bbb4e62664a06f,moved,shutil.move,hash verified
docs/stage4/e3_frozen_holdout1000_baseline.md,docs/stage3_sde/imported_stage4_docs/e3_frozen_holdout1000_baseline.md,MAINLINE_STAGE3_SDE,markdown,yes,yes,yes,high,frozen E3/SDE baseline document,8c4d9c16114397ab5fc37280c98dcc7243448a2d91aad2a2180bbef3ceb2d8f8,8c4d9c16114397ab5fc37280c98dcc7243448a2d91aad2a2180bbef3ceb2d8f8,moved,shutil.move,hash verified
docs/stage4/stage3_sde_legacy_audit.md,docs/stage3_sde/imported_stage4_docs/stage3_sde_legacy_audit.md,NEGATIVE_DIAGNOSTIC,markdown,yes,yes,yes,high,legacy SDE/SDEdit audit supporting limitation analysis,889c5e2e31cdb2cedb134f8b2abc800d0ea51401169bb4988f413e5cb24b46a0,889c5e2e31cdb2cedb134f8b2abc800d0ea51401169bb4988f413e5cb24b46a0,moved,shutil.move,hash verified
outputs/stage3_indoor/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_conclusion.json,outputs/curated/stage3_sde/legacy_or_deprecated/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_conclusion.json,LEGACY_OR_DEPRECATED,json,yes,yes,yes,high,conditional-residual Stage 4 branch superseded by SDE mainline,e106c3b3280e07e43d510af55fff79a68585685c90949dbfd9439eccd695c0cb,e106c3b3280e07e43d510af55fff79a68585685c90949dbfd9439eccd695c0cb,moved,git mv,hash verified
outputs/stage3_indoor/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_eval.png,outputs/curated/stage3_sde/legacy_or_deprecated/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_eval.png,LEGACY_OR_DEPRECATED,figure,yes,yes,yes,high,conditional-residual Stage 4 branch superseded by SDE mainline,5d2107813531250dcda980a165b2933d8f7be8c57c58622a90f2a2146064fe23,5d2107813531250dcda980a165b2933d8f7be8c57c58622a90f2a2146064fe23,moved,git mv,hash verified
outputs/stage3_indoor/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_per_traj.csv,outputs/curated/stage3_sde/legacy_or_deprecated/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_per_traj.csv,LEGACY_OR_DEPRECATED,metric_csv,yes,yes,yes,high,conditional-residual Stage 4 branch superseded by SDE mainline,336611d37d5b3ab490e1a9ced67e49ca05e5031b39834bf7e6f9b2ff92409ac3,336611d37d5b3ab490e1a9ced67e49ca05e5031b39834bf7e6f9b2ff92409ac3,moved,git mv,hash verified
outputs/stage3_indoor/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_summary.csv,outputs/curated/stage3_sde/legacy_or_deprecated/conditional_residual_ddpm_gaussian/seed42/cond_residual_gaussian_summary.csv,LEGACY_OR_DEPRECATED,metric_csv,yes,yes,yes,high,conditional-residual Stage 4 branch superseded by SDE mainline,e6257f629ce141e5a230a2a84f39b6330d25273a6caa0ee1f33f2814157eaad3,e6257f629ce141e5a230a2a84f39b6330d25273a6caa0ee1f33f2814157eaad3,moved,git mv,hash verified
